aX,aY,aZ,gX,gY,gZ
-0.017,-0.074,0.970,-0.183,-1.221,-0.122
-0.018,-0.074,0.970,-0.366,-1.038,-0.305
-0.016,-0.074,0.970,-0.427,-0.977,-0.244
-0.015,-0.075,0.971,-0.366,-1.282,-0.244
-0.016,-0.074,0.969,-0.183,-1.221,-0.427
-0.016,-0.075,0.969,-0.305,-1.099,-0.427
-0.016,-0.074,0.969,-0.366,-1.221,-0.244
-0.017,-0.073,0.970,-0.549,-1.343,-0.122
-0.016,-0.073,0.970,-0.366,-1.160,-0.305
0.805,-2.085,1.761,228.943,104.553,23.865
-0.304,-0.948,0.344,317.261,146.790,81.482
-0.603,1.253,0.364,123.779,125.793,172.791
0.558,0.644,0.665,-91.309,45.471,163.635
0.420,-0.033,0.465,-53.772,-58.777,113.464
0.026,-0.153,0.976,-11.719,-138.977,88.318
0.036,-0.050,0.486,7.141,-155.273,69.214
0.099,-0.198,0.969,-31.311,-156.982,45.166
0.113,-0.222,0.853,-56.274,-141.052,24.719
0.166,-0.069,0.925,-68.970,-122.742,8.667
0.179,-0.157,0.944,-67.078,-100.891,-3.235
0.112,-0.326,0.994,-52.551,-81.543,-5.676
0.100,-0.382,1.040,-31.738,-69.214,-9.827
0.053,-0.294,0.938,-16.357,-67.383,-12.390
0.164,-0.240,0.910,-13.062,-59.143,-2.319
0.004,-0.057,1.014,-22.278,-47.424,1.892
-0.077,0.037,0.864,-23.376,-46.814,7.507
-0.081,0.055,0.942,-13.245,-53.894,16.052
-0.049,0.108,0.780,0.000,-52.612,30.273
-0.096,0.158,0.808,-4.028,-40.649,39.429
-0.061,0.120,0.907,-11.902,-17.029,37.109
-0.052,0.074,0.874,-13.550,-3.296,28.442
-0.025,-0.011,0.848,-11.597,0.854,20.508
0.009,-0.035,0.824,-7.202,-0.366,18.982
0.043,-0.037,0.826,-2.258,-4.333,22.034
0.012,-0.056,0.918,2.258,-2.441,26.428
-0.015,-0.069,1.034,5.615,7.874,29.480
-0.006,-0.137,0.998,12.634,29.114,29.968
0.064,-0.093,0.924,21.851,54.993,31.494
0.115,-0.049,0.888,28.748,76.355,35.156
0.106,-0.075,0.865,32.410,87.769,36.072
0.131,-0.111,0.847,31.921,88.074,33.752
0.067,-0.110,0.864,28.748,83.557,25.635
0.060,-0.066,0.909,30.579,84.229,16.113
0.158,-0.104,0.894,36.011,91.858,13.000
0.210,-0.167,0.907,37.720,98.938,16.663
0.285,-0.172,0.920,36.865,100.891,21.545
0.283,-0.184,0.929,34.119,93.445,23.743
0.282,-0.196,0.943,28.625,82.825,24.963
0.278,-0.203,0.968,25.818,74.829,28.076
0.315,-0.200,1.018,19.958,64.758,32.532
0.334,-0.208,1.013,10.620,52.490,35.278
0.308,-0.191,0.981,0.000,38.879,38.452
0.242,-0.143,0.956,-5.859,30.762,39.612
0.247,-0.113,0.923,-6.165,29.175,37.781
0.262,-0.126,0.886,-7.751,28.137,34.912
0.254,-0.116,0.853,-10.559,25.879,29.968
0.228,-0.089,0.847,-11.963,20.447,24.841
0.203,-0.068,0.847,-11.963,14.526,20.996
0.215,-0.059,0.820,-11.047,9.888,17.822
0.202,-0.058,0.784,-8.301,7.629,14.404
0.175,-0.064,0.774,-2.014,7.263,9.949
0.184,-0.065,0.749,5.737,6.226,4.639
0.238,-0.067,0.763,13.000,2.625,0.366
0.230,-0.054,0.811,19.470,-1.465,-1.587
0.214,-0.052,0.851,24.048,-2.136,-2.197
0.220,-0.088,0.872,25.146,1.831,-3.906
0.271,-0.124,0.902,24.353,7.385,-7.690
0.316,-0.153,0.906,22.339,12.207,-11.230
0.344,-0.161,0.908,19.592,12.024,-11.963
0.335,-0.181,0.882,16.174,9.888,-10.864
0.354,-0.197,0.887,14.099,12.207,-11.475
0.391,-0.183,0.891,13.550,7.446,-11.414
0.367,-0.226,0.896,14.099,-5.249,-9.155
0.372,-0.231,0.920,12.817,-10.742,-11.719
