aX,aY,aZ,gX,gY,gZ
0.069,-0.076,0.967,-0.061,-1.587,-0.244
0.069,-0.078,0.966,0.061,-1.404,-0.305
0.070,-0.076,0.966,-0.183,-1.404,-0.122
0.246,-0.527,0.859,25.635,58.838,1.648
0.240,-0.552,0.843,36.743,19.897,14.282
0.212,-0.554,0.822,49.255,25.635,11.475
0.187,-0.498,0.779,53.223,31.006,5.005
0.228,-0.492,0.717,51.819,27.771,4.333
0.192,-0.485,0.747,51.880,8.972,2.930
0.098,-0.500,0.792,56.335,-5.127,1.160
0.215,-0.477,0.735,61.584,-15.076,5.554
0.199,-0.480,0.772,57.068,-20.874,1.770
0.224,-0.449,0.815,46.387,-21.606,-3.296
0.196,-0.453,0.814,34.119,-18.250,-10.864
0.150,-0.488,0.821,20.874,-14.832,-18.250
0.128,-0.521,0.833,13.977,-16.479,-16.785
0.199,-0.476,0.791,15.930,-21.484,-14.160
0.083,-0.588,0.777,15.442,-26.001,-16.174
0.132,-0.540,0.780,11.902,-30.151,-13.489
0.133,-0.537,0.782,8.606,-34.058,-10.803
0.084,-0.581,0.807,3.174,-35.828,-10.071
0.130,-0.520,0.794,0.183,-37.415,-6.592
0.128,-0.537,0.751,-3.845,-39.917,-6.714
0.086,-0.570,0.723,-12.085,-43.701,-8.179
0.047,-0.563,0.780,-25.085,-47.241,-7.141
0.060,-0.535,0.840,-35.522,-46.570,-2.991
0.018,-0.515,0.969,-38.879,-44.861,-0.610
0.060,-0.463,1.038,-33.508,-41.443,4.089
0.040,-0.469,1.045,-20.935,-33.386,5.188
0.062,-0.481,0.967,-8.118,-21.118,4.150
0.061,-0.488,0.925,2.075,-13.245,3.113
0.075,-0.495,0.887,11.230,-13.428,4.211
0.084,-0.483,0.948,18.616,-18.616,5.981
0.045,-0.510,0.931,30.518,-20.630,4.822
-0.002,-0.540,0.823,45.288,-17.883,4.272
0.009,-0.580,0.908,53.772,-11.475,2.258
0.068,-0.527,0.871,60.120,-8.911,8.545
0.393,-0.423,0.958,66.956,-9.216,8.423
0.602,-0.744,1.184,77.332,-2.136,-24.353
0.216,-0.671,0.014,113.831,25.513,-78.613
-0.598,-0.338,0.866,64.941,48.340,-102.783
-0.125,-0.446,0.992,40.588,24.170,-50.537
0.069,-0.595,0.775,47.852,-11.292,-21.423
0.076,-0.650,0.654,46.448,-11.536,-21.729
0.053,-0.634,0.703,27.771,-1.038,-23.193
-0.006,-0.617,0.720,10.620,-7.812,-16.724
0.057,-0.607,0.790,1.221,-5.554,-9.033
0.050,-0.633,0.733,-0.916,3.418,-10.132
-0.050,-0.642,0.637,-7.263,3.723,-13.000
0.248,-0.530,1.061,-16.907,-2.747,-10.376
-0.045,-0.591,0.842,2.991,-12.085,-17.761
